username,repo_name,stars,repo_url,topics
fighting41love,funNLP,50.4k,https://github.com/fighting41love/funNLP,
pandas-dev,pandas,38.4k,https://github.com/pandas-dev/pandas,pandas; python; data-analysis; data-science; flexible; alignment
gchq,CyberChef,21.2k,https://github.com/gchq/CyberChef,hashing; encoding; compression; encryption; parsing; data-analysis; data-manipulation
wesm,pydata-book,19.4k,https://github.com/wesm/pydata-book,
davisking,dlib,12k,https://github.com/davisking/dlib,c-plus-plus; python; machine-learning; computer-vision; deep-learning; machine-learning-library; dlib
keplergl,kepler.gl,9.4k,https://github.com/keplergl/kepler.gl,visualization; geospatial; data-visualization; kepler; mapbox
google,pprof,6.5k,https://github.com/google/pprof,performance; profiler; performance-analysis; pprof
tangyudi,Ai-Learn,6.3k,https://github.com/tangyudi/Ai-Learn,pytorch; deep-learning; keras; python; numpy; pandas; nlp; data-science; machine-learning; data-mining; algorithm; caffe; tensorflow; cv; mathematics; seaborn; artificial-intelligence; data-analysis; matplotlib; tensorflow2
iamseancheney,python_for_data_analysis_2nd_chinese_version,6.1k,https://github.com/iamseancheney/python_for_data_analysis_2nd_chinese_version,numpy; pandas; matplotlib
donnemartin,dev-setup,5.9k,https://github.com/donnemartin/dev-setup,nodejs; mysql; python; git; vim; macos; linux; bash; redis; cli; mac; aws; elasticsearch; cloud; spark; mongodb; iterm2; sublime-text; postgresql; android-development
dformoso,machine-learning-mindmap,5.8k,https://github.com/dformoso/machine-learning-mindmap,python; learning; science; data; machine-learning; jupyter; machine; cheatsheet; mindmap
rhiever,Data-Analysis-and-Machine-Learning-Projects,5.6k,https://github.com/rhiever/Data-Analysis-and-Machine-Learning-Projects,machine-learning; python; data-science; ipython-notebook; data-analysis; evolutionary-algorithm
ujjwalkarn,DataSciencePython,4.8k,https://github.com/ujjwalkarn/DataSciencePython,python; data-science; data-scientists; python-tutorial
WillKoehrsen,Data-Analysis,4.7k,https://github.com/WillKoehrsen/Data-Analysis,
rasbt,mlxtend,4.4k,https://github.com/rasbt/mlxtend,python; machine-learning; data-science; data-mining; supervised-learning; unsupervised-learning; association-rules
facebookresearch,Kats,4.4k,https://github.com/facebookresearch/Kats,
Alfred1984,interesting-python,4.4k,https://github.com/Alfred1984/interesting-python,
biolab,orange3,4.1k,https://github.com/biolab/orange3,python; visualization; data-science; machine-learning; data-mining; random-forest; clustering; numpy; scikit-learn; regression; pandas; data-visualization; classification; scipy; orange; plotting; decision-trees; visual-programming; orange3
NAalytics,Assemblies-of-putative-SARS-CoV2-spike-encoding-mRNA-sequences-for-vaccines-BNT-162b2-and-mRNA-1273,3.4k,https://github.com/NAalytics/Assemblies-of-putative-SARS-CoV2-spike-encoding-mRNA-sequences-for-vaccines-BNT-162b2-and-mRNA-1273,
antvis,L7,3.1k,https://github.com/antvis/L7,map; webgl; maps; geojson; javascript; geospatial; gis; data-visualization; polygon; point; mapbox; 3d; amap; antv
google,deepvariant,2.8k,https://github.com/google/deepvariant,deep-learning; bioinformatics; genomics; ngs; sequencing; science; machine-learning; genome; tensorflow; dna; deep-neural-network; deepvariant
airbnb,streamalert,2.8k,https://github.com/airbnb/streamalert,rules; aws; security; lambda; serverless; analysis; terraform; kinesis
